,YearMonth,Topic_Label,Article_Count
0,2023-10,"bank, west, israeli, palestinian",16
1,2023-10,"captives, hamas, release, hostages",19
2,2023-10,"hospital, patients, medical, hospitals",18
3,2023-10,"insightful, graphics, illustrated, perspectives",3
4,2023-10,"iran, iranian, syria, us",20
5,2023-10,"journalists, abc, media, coverage",1
6,2023-10,"my, her, she, we",37
7,2023-10,"rights, human, un, albanese",1
8,2023-10,"we, are, to, is",1
9,2023-11,"bank, west, israeli, palestinian",17
10,2023-11,"captives, hamas, release, hostages",52
11,2023-11,"hospital, patients, medical, hospitals",74
12,2023-11,"insightful, graphics, illustrated, perspectives",2
13,2023-11,"iran, iranian, syria, us",14
14,2023-11,"journalists, abc, media, coverage",4
15,2023-11,"my, her, she, we",29
16,2023-11,"we, are, to, is",2
17,2023-12,"bank, west, israeli, palestinian",15
18,2023-12,"captives, hamas, release, hostages",17
19,2023-12,"hospital, patients, medical, hospitals",8
20,2023-12,"insightful, graphics, illustrated, perspectives",1
21,2023-12,"iran, iranian, syria, us",8
22,2023-12,"journalists, abc, media, coverage",1
23,2023-12,"my, her, she, we",11
24,2023-12,"we, are, to, is",1
25,2024-01,"bank, west, israeli, palestinian",9
26,2024-01,"captives, hamas, release, hostages",13
27,2024-01,"hospital, patients, medical, hospitals",7
28,2024-01,"insightful, graphics, illustrated, perspectives",2
29,2024-01,"iran, iranian, syria, us",15
30,2024-01,"journalists, abc, media, coverage",2
31,2024-01,"my, her, she, we",7
32,2024-01,"we, are, to, is",1
33,2024-02,"bank, west, israeli, palestinian",4
34,2024-02,"captives, hamas, release, hostages",20
35,2024-02,"hospital, patients, medical, hospitals",10
36,2024-02,"iran, iranian, syria, us",13
37,2024-02,"journalists, abc, media, coverage",1
38,2024-02,"my, her, she, we",11
39,2024-02,"rights, human, un, albanese",3
40,2024-02,"we, are, to, is",2
41,2024-03,"bank, west, israeli, palestinian",2
42,2024-03,"captives, hamas, release, hostages",11
43,2024-03,"hospital, patients, medical, hospitals",5
44,2024-03,"iran, iranian, syria, us",4
45,2024-03,"journalists, abc, media, coverage",1
46,2024-03,"my, her, she, we",9
47,2024-03,"reconstruction, gaza, blockade, qatar",1
48,2024-03,"we, are, to, is",1
49,2024-04,"bank, west, israeli, palestinian",3
50,2024-04,"captives, hamas, release, hostages",8
51,2024-04,"hospital, patients, medical, hospitals",3
52,2024-04,"iran, iranian, syria, us",25
53,2024-04,"journalists, abc, media, coverage",1
54,2024-04,"my, her, she, we",2
55,2024-04,"rights, human, un, albanese",1
